split,condition,n,mean,p10,p50,p90,floor_rate,ceiling_rate
dev,flat,100,22.1499,21.4955,22.5125,22.5125,0.0,0.0
dev,native_normal,100,86.7484,69.1462,90.5787,95.7096,0.0,0.16
dev,shuffled,100,50.0387,43.0777,47.9015,59.2367,0.0,0.0
dev,wrong_drop,100,80.7907,58.2199,84.7783,94.1199,0.0,0.05
external_janon_learner,learner_observed,315,68.7557,40.8075,74.2785,86.451,0.0,0.0063
external_janon_native,native_normal,284,80.6657,60.7794,85.067,94.0385,0.0,0.0775
locked_test,flat,600,22.0643,21.3395,22.5125,22.5125,0.0,0.0
locked_test,native_normal,600,87.5869,74.7192,90.2913,96.6862,0.0,0.1817
locked_test,shuffled,600,49.8212,42.0841,47.5141,61.3761,0.0,0.0
locked_test,wrong_drop,600,82.2907,65.2927,85.3974,95.1767,0.0,0.1067
train,flat,280,22.0185,21.2953,22.2297,22.5125,0.0,0.0
train,native_normal,280,88.2039,76.8825,90.0102,96.3321,0.0,0.1714
train,shuffled,280,49.6568,43.0786,47.8511,60.3687,0.0,0.0
train,wrong_drop,280,82.477,66.8866,85.7784,95.3411,0.0,0.1179
