condition,severity,display_score,delta_from_clean,pronunciation_score,rhythm_timing_score,delivery_fluency_score,mora_duration_cv,speech_rate_mora_per_sec,distance_from_target_rate_range,pause_ratio,pause_count,pause_excess,pause_density,continuous_rhythm_deviation,special_mora_penalty
clean,0.0,89,0.0,81,98,93,0.21053992000968916,6.594982078853047,0.0,0.20186379928315415,3,0.021863799283154156,0.43010752688172044,0.21053992000968916,0.0
global_speed_0.7,0.30000000000000004,86,-3.0,77,98,92,0.2591253066284426,4.677173360447382,0.0,0.20660904931367563,3,0.026609049313675637,0.3050330452465684,0.2591253066284426,0.0
global_speed_0.8,0.19999999999999996,88,-1.0,81,97,91,0.21625620926540537,5.296488198042602,0.0,0.21922855497985025,3,0.039228554979850255,0.3454231433506045,0.21625620926540537,0.0
global_speed_0.9,0.09999999999999998,92,3.0,85,98,94,0.17190004367493988,5.908798972382788,0.0,0.19113680154142587,3,0.011136801541425878,0.3853564547206166,0.17190004367493988,0.0
global_speed_1.1,0.10000000000000009,88,-1.0,80,96,93,2.0136386183130367e-15,7.181889149102264,0.18188914910226384,0.20234192037470722,3,0.022341920374707225,0.46838407494145196,2.0136386183130367e-15,0.0
global_speed_1.2,0.19999999999999996,87,-2.0,80,92,95,1.903736916380937e-15,7.816482582837724,0.8164825828377236,0.18759558198810533,3,0.007595581988105338,0.5097706032285472,1.903736916380937e-15,0.0
global_speed_1.3,0.30000000000000004,85,-4.0,80,85,92,2.101857316588756e-15,8.47926267281106,1.4792626728110605,0.20645161290322575,3,0.026451612903225757,0.5529953917050692,2.101857316588756e-15,0.0
pause_insert_0.2,0.2,87,-2.0,79,97,90,0.23745951559209355,6.411149825783972,0.0,0.22522648083623698,3,0.04522648083623698,0.4181184668989547,0.23745951559209355,0.0
pause_insert_0.45,0.45,80,-9.0,71,96,86,0.3264884214502337,6.1952861952861955,0.0,0.24996632996633006,3,0.06996632996633007,0.40404040404040403,0.3264884214502337,0.0
pause_insert_0.8,0.8,85,-4.0,80,95,81,1.7673022851653655e-15,5.916398713826367,0.0,0.2839871382636656,3,0.10398713826366562,0.38585209003215437,1.7673022851653655e-15,0.0
noise_25db,5,88,-1.0,80,98,93,1.938696224532326e-15,6.594982078853047,0.0,0.20186379928315415,3,0.021863799283154156,0.43010752688172044,1.938696224532326e-15,0.0
noise_15db,15,89,0.0,80,99,95,1.938696224532326e-15,6.594982078853047,0.0,0.18580645161290324,3,0.005806451612903246,0.43010752688172044,1.938696224532326e-15,0.0
noise_8db,22,90,1.0,80,100,100,1.7583909737913229e-15,6.681190994916485,0.0,0.06971677559912855,1,0.0,0.14524328249818447,1.7583909737913229e-15,0.0
